P_central,Radius_km,Mass_Msun
3.2092e-05,15.1387,1.18593
3.24129e-05,15.1285,1.18935
3.2737e-05,15.1183,1.19278
3.30644e-05,15.1081,1.19621
3.33951e-05,15.0979,1.19964
3.3729e-05,15.0876,1.20308
3.40663e-05,15.0773,1.20651
3.4407e-05,15.067,1.20994
3.4751e-05,15.0567,1.21337
3.50985e-05,15.0463,1.2168
3.54495e-05,15.0359,1.22024
3.5804e-05,15.0254,1.22367
3.61621e-05,15.015,1.2271
3.65237e-05,15.0053,1.23054
3.68889e-05,14.9948,1.23397
3.72578e-05,14.9842,1.2374
3.76304e-05,14.9737,1.24083
3.80067e-05,14.9631,1.24426
3.83868e-05,14.9525,1.2477
3.87706e-05,14.9418,1.25113
3.91583e-05,14.9311,1.25456
3.95499e-05,14.9204,1.25799
3.99454e-05,14.9097,1.26141
4.03449e-05,14.8989,1.26484
4.07483e-05,14.8881,1.26827
4.11558e-05,14.8773,1.27169
4.15674e-05,14.8665,1.27512
4.1983e-05,14.8556,1.27854
4.24029e-05,14.8447,1.28196
4.28269e-05,14.8337,1.28539
4.32552e-05,14.8228,1.28881
4.36877e-05,14.8118,1.29222
4.41246e-05,14.8007,1.29564
4.45658e-05,14.7897,1.29906
4.50115e-05,14.7786,1.30247
4.54616e-05,14.7675,1.30588
4.59162e-05,14.7564,1.30929
4.63754e-05,14.7465,1.3127
4.68391e-05,14.7353,1.3161
4.73075e-05,14.7241,1.31951
4.77806e-05,14.7128,1.32291
4.82584e-05,14.7015,1.32631
4.8741e-05,14.6903,1.3297
4.92284e-05,14.6789,1.3331
4.97207e-05,14.6676,1.33649
5.02179e-05,14.6562,1.33988
5.07201e-05,14.6448,1.34326
5.12273e-05,14.6334,1.34665
5.17396e-05,14.6219,1.35003
5.2257e-05,14.6104,1.35341
5.27795e-05,14.5989,1.35678
5.33073e-05,14.5874,1.36015
5.38404e-05,14.5758,1.36352
5.43788e-05,14.5642,1.36688
5.49226e-05,14.5526,1.37025
5.54718e-05,14.5409,1.3736
5.60265e-05,14.5292,1.37696
5.65868e-05,14.5175,1.38031
5.71527e-05,14.5058,1.38366
5.77242e-05,14.494,1.387
5.83014e-05,14.4822,1.39034
5.88844e-05,14.4704,1.39367
5.94733e-05,14.4597,1.39701
6.0068e-05,14.4479,1.40033
6.06687e-05,14.436,1.40366
6.12754e-05,14.424,1.40698
6.18881e-05,14.4121,1.41029
6.2507e-05,14.4001,1.4136
6.31321e-05,14.3881,1.4169
6.37634e-05,14.3761,1.4202
6.44011e-05,14.3641,1.4235
6.50451e-05,14.352,1.42679
6.56955e-05,14.3399,1.43008
6.63525e-05,14.3278,1.43336
6.7016e-05,14.3156,1.43663
6.76862e-05,14.3034,1.4399
6.8363e-05,14.2912,1.44317
6.90466e-05,14.279,1.44643
6.97371e-05,14.2667,1.44968
7.04345e-05,14.2545,1.45293
7.11388e-05,14.2421,1.45618
7.18502e-05,14.2298,1.45941
7.25687e-05,14.2174,1.46265
7.32944e-05,14.2051,1.46587
7.40273e-05,14.1926,1.46909
7.47676e-05,14.1802,1.47231
7.55153e-05,14.1677,1.47551
7.62705e-05,14.1553,1.47871
7.70332e-05,14.1427,1.48191
7.78035e-05,14.1302,1.4851
7.85815e-05,14.1187,1.48828
7.93673e-05,14.1061,1.49146
8.0161e-05,14.0935,1.49462
8.09626e-05,14.0808,1.49779
8.17722e-05,14.0682,1.50094
8.259e-05,14.0555,1.50409
8.34159e-05,14.0428,1.50723
8.425e-05,14.0301,1.51037
8.50925e-05,14.0173,1.51349
8.59435e-05,14.0046,1.51661
8.68029e-05,13.9918,1.51973
8.76709e-05,13.9789,1.52283
8.85476e-05,13.9661,1.52593
8.94331e-05,13.9532,1.52902
9.03274e-05,13.9403,1.5321
9.12307e-05,13.9274,1.53517
9.2143e-05,13.9144,1.53824
9.30644e-05,13.9015,1.5413
9.39951e-05,13.8885,1.54435
9.4935e-05,13.8755,1.54739
9.58844e-05,13.8624,1.55043
9.68432e-05,13.8494,1.55345
9.78117e-05,13.8363,1.55647
9.87898e-05,13.8232,1.55948
9.97777e-05,13.8101,1.56248
0.000100775,13.7969,1.56547
0.000101783,13.7841,1.56845
0.000102801,13.7709,1.57143
0.000103829,13.7576,1.57439
0.000104867,13.7444,1.57735
0.000105916,13.7311,1.5803
0.000106975,13.7178,1.58323
0.000108045,13.7045,1.58616
0.000109125,13.6912,1.58908
0.000110217,13.6778,1.59199
0.000111319,13.6645,1.59489
0.000112432,13.6511,1.59778
0.000113556,13.6376,1.60067
0.000114692,13.6242,1.60354
0.000115839,13.6107,1.6064
0.000116997,13.5982,1.60925
0.000118167,13.5846,1.6121
0.000119349,13.5711,1.61493
0.000120542,13.5576,1.61775
0.000121748,13.544,1.62056
0.000122965,13.5304,1.62336
0.000124195,13.5168,1.62616
0.000125437,13.5032,1.62894
0.000126691,13.4896,1.63171
0.000127958,13.4759,1.63447
0.000129238,13.4622,1.63722
0.00013053,13.4481,1.63996
0.000131835,13.4344,1.64268
0.000133154,13.4206,1.6454
0.000134485,13.4069,1.64811
0.00013583,13.394,1.6508
0.000137188,13.3802,1.65349
0.00013856,13.3664,1.65616
